NCR- ILC3	NCR+ ILC3	CD16+ NK	CD56+ SELL_high NK	CD56+ SELL_low NK
CREB1	0.0506967693906839	0.226454734763857	0.370571275858694	0.0741767037541519	0.25993834201106
CREB3	0.0334714002304102	0.261120087670789	0.247704499020938	0.0648129596970032	0.260512741558239
CREB3L2	0.0622992461428202	0.255905608354878	0.364954193764586	0.0667411403902772	0.25344357940539
CREB5	0.0499870295540434	0.288430844779181	0.286702511892813	0.0588026844957014	0.28666031286658
CREBL2	0.0685262540850393	0.237136916548492	0.36279073102061	0.0665473470442487	0.240534821944079
CREM	0.0499434777835766	0.262730506118619	0.369058193263794	0.0726593568085259	0.271568932509128
CTCF	0.0579483085581765	0.269653650958379	0.373520320470953	0.0729346420193051	0.237669293505862
CUX1	0.051138385877959	0.29987376378362	0.307613948875303	0.0758134942106342	0.257290070857274
DBP	0.0439972294695045	0.259674557908582	0.334163088278933	0.0681677894987354	0.235160395101601
E2F1	0.0519296224987956	0.239817332580058	0.397965713962372	0.0767328428799586	0.258532407161313
E2F3	0.0407800214750539	0.252795692114542	0.345752665713294	0.0756703634386243	0.285495027143877
E2F4	0.0494826743633404	0.225618621934224	0.412342026170161	0.0798986303816352	0.25404026370773
E2F6	0.0477853387249648	0.27029847606234	0.365392212941059	0.0749307462027267	0.220357677268638
EBF1	0.0136124054416314	0.0538317355552215	0.101889092402669	0.0353636055178933	0.0776299547455697
EBF4	0.0382277848584386	0.143125094685178	0.368069963689116	0.0665554932049159	0.157425731670804
EGR1	0.0470309276053166	0.284628057845714	0.348373432986054	0.0707616578980401	0.268445765053374
EGR2	0.0373710791638533	0.234626920900894	0.348931059277498	0.0713871995670269	0.30604980255836
EGR3	0.0361695800107827	0.268769258416572	0.244067015567494	0.0556080146379988	0.208547152003179
EGR4	0.0105308824217026	0.0662646979808668	0.167570656167262	0.0457231707720303	0.150268549457577
EHF	0.0502394622258594	0.326078610473715	0.322990637191669	0.083557902297086	0.212308496970908
ELF1	0.0501637645787831	0.251826208533949	0.375864082384171	0.0750287781518266	0.273573782152138
ELF2	0.0421672104707064	0.222834945828571	0.421621167496881	0.0818192441777387	0.245548828464466
ELF4	0.0477206385380248	0.213150890041002	0.429775484360467	0.0806120202722351	0.244699992882137
ELK1	0.0508977586985817	0.282613774729656	0.357084684235265	0.0723986913368397	0.252924838359436
ELK3	0.0575696221952757	0.479150046786633	0.183154080829874	0.0465652330390164	0.124639984826648
ELK4	0.0476623856309928	0.25558072294922	0.378773980995394	0.0741702297488677	0.252983853112997
EOMES	0.045084576477548	0.198400954996085	0.405928302846536	0.0799696421431203	0.289046720750724
EP300	0.0457605367509691	0.231528726834734	0.402829602283313	0.077926308456586	0.24618678657608
ERG	0.0541664510119684	0.272588262726394	0.361193029516706	0.0741620403078685	0.219020237530724
ESR2	0.0350145415782418	0.155936289596399	0.299056401516655	0.0546518309235947	0.195707791046332
ESRRA	0.052691418674089	0.293548778001759	0.321629624651746	0.0724476213619928	0.268904792778482
ETS1	0.050692253558916	0.238406066161088	0.399410842615994	0.0796696000986474	0.259224014364987
ETS2	0.0515122941518785	0.272243914763239	0.368930052375125	0.0766876919611142	0.25650874611147
ETV1	0.0524640453925648	0.285780761769212	0.322220750287364	0.0759492852032647	0.227352980756747
ETV2	0.0340886884211107	0.134487022054459	0.473566294473046	0.082560045345514	0.178380753026514
ETV3	0.0494831532531715	0.261515123713297	0.368253971365086	0.0745846861072328	0.266425026467811
ETV6	0.0547664051711542	0.289413090042044	0.352802143272035	0.0763730584312529	0.249143149311663
ETV7	0.0439677658782005	0.235585777902802	0.407817372620778	0.0759659402374264	0.238144668125818
EWSR1	0.0196432625650929	0.0498064549915483	0.147118466179978	0.0367391045249503	0.0843418287174623
FLI1	0.0508248055934549	0.233501155993731	0.40685536857164	0.0829422948903088	0.252365609566608
FOS	0.0501348780240155	0.32477642625025	0.311088672845116	0.0731542224644032	0.254881314001956
FOSB	0.0500111036928782	0.28683344831139	0.346613867928677	0.0699459377709987	0.27086823777377
FOSL1	0.0448893701170127	0.261854825446456	0.361046652921419	0.0723481473966132	0.263263685744979
FOSL2	0.0487704944411455	0.252601576785537	0.361766295825521	0.0694642845850055	0.286376934083498
FOXC1	0.0360365460088061	0.17414341203077	0.386763373753833	0.0877317074047091	0.167485649869366
FOXF1	0.0975650206088515	0.239170359828309	0.265553166681753	0.0553603346435222	0.230550594658195
FOXJ2	0.0624122649751963	0.242344305898063	0.306296777937924	0.0596935251777311	0.2328297795796
FOXJ3	0.022456473302033	0.0877680018102348	0.0897918605529401	0.0366839340789207	0.040909106192964
FOXK1	0.00904671991092021	0.0102027990245631	0.0536205412035389	0.0280261748331689	0.0158797429692197
FOXN2	0.00733945943670644	0.0258399848333468	0.0259521973889301	0.0130128978578096	0.0206767916744818
FOXO1	0.033783454993821	0.139120528954126	0.282850732298978	0.0657971445781844	0.126257967537888
FOXO3	0.0461141614634247	0.278748497577918	0.335260503265517	0.07199496285221	0.262514303842563
FOXO4	0.048861190354251	0.162296418271618	0.226505804617173	0.063974511153892	0.241938330905123
FOXP1	0.0438054810563319	0.213079214057486	0.326840018288853	0.0646477639427784	0.216992036237903
FOXP3	0.0403210458539309	0.185036361113178	0.321561089790453	0.072487953236361	0.205994173822458
FOXP4	0.0368986514762393	0.150371238194895	0.272765172396452	0.0534152449176083	0.171604318790868
FUBP1	0.0458193032374556	0.154795468306265	0.269022363245836	0.0562039090942966	0.210289307155179
GABPA	0.0471015557953698	0.234794126447807	0.401049734676058	0.0772599639371555	0.246498264109702
GABPB1	0.0464195348085348	0.251522082675027	0.379048812597388	0.0802475663199531	0.267979665668503
GATA1	0.0511474638079107	0.217961823271957	0.366901405570425	0.0691437039736031	0.213759678445322
GATA2	0.0654945533308873	0.180351797610702	0.273063464275086	0.0592733333513494	0.169981502557334
GATA3	0.0405460118443395	0.264980252951713	0.307557988289452	0.0878672335480229	0.282940460822018
GATA4	0.0241488051422327	0.185171081243421	0.28346742999343	0.0479939194067311	0.173504447419872
GATA5	0.0586890072905685	0.185695319395369	0.296566099084011	0.0583665416456246	0.177517334525152
GFI1	0.0462792728732134	0.162371241041855	0.165881558076399	0.0568738662603812	0.139167581678908
GMEB2	0.0269540620710876	0.136573553539453	0.275814241431312	0.0698439231127487	0.137581190369308
GTF2B	0.0487143832710408	0.272794024215747	0.342752695657015	0.0679188315516325	0.285650583096641
GTF2IRD1	0.0569427704195833	0.165920423402591	0.233928405054237	0.0584800896079369	0.21530410801225
GTF3C2	0.0601137867219187	0.252914582547042	0.31148287565928	0.0752781338747267	0.20598832064239
HDAC2	0.0553540925887414	0.251803973837005	0.386878730301543	0.0819964671318069	0.253545929881386
HES1	0.0423578374315374	0.270723618433396	0.311227438535026	0.0719344260156382	0.224247061542635
HES6	0.0397374673085756	0.189774993671656	0.427399276854735	0.0773267815062088	0.261068149208785
HIC1	0.0557786216106791	0.25065779156598	0.330898220827822	0.0552322468374322	0.249629456320745
HLX	0.0451721546245898	0.188053612660752	0.205215963412522	0.0415706495547001	0.129474876967112
HMGA1	0.0556595232566267	0.240421852367205	0.384725706372953	0.0784479633282601	0.262466208150195
HMGA2	0.0301221865725343	0.127764467301521	0.25108239096873	0.0574392175238327	0.145427747022163
HOXA1	0.0531624349963024	0.2514113283629	0.259939270895103	0.0596562246001203	0.212463228051153
HOXA10	0.0293171733550021	0.214900449450353	0.212445314383136	0.091409255818407	0.153286777357242
HOXA13	0.0480113192162912	0.196965329207382	0.305407961030365	0.0670707347672048	0.192784210109753
HOXA3	0.0139908994441602	0.148874741415669	0.152478995305155	0.0626467272758187	0.110363433169591
HOXA4	0.0414610558377798	0.23679217139161	0.165603125613328	0.0331332775581564	0.133666878376554
HOXA5	0.0371904349308649	0.273030532960668	0.27244094909908	0.074534250491644	0.2074376141319
HOXA6	0.0468157865142282	0.239648511259897	0.365126786419761	0.0788536351767476	0.216189285899474
HOXA7	0.0482468131639893	0.303033076277549	0.285281241943461	0.0786556745419368	0.270235081133269
HOXA9	0.0578260308599671	0.300478489551016	0.304031845650784	0.0673979562176172	0.227574365367383
HOXB2	0.0738687899264439	0.274977724751776	0.338434132443359	0.0674077402982062	0.222599962766536
HSF1	0.0510711745251119	0.241858649777262	0.383076174754724	0.0777296465389898	0.239156294158529
IKZF1	0.0451137321069316	0.199328514670363	0.435100206804229	0.082274503794636	0.224413147794711
IKZF2	0.0855667581409914	0.214145697255114	0.221167412496684	0.0424545317206266	0.166801896363779
IRF1	0.0441055283193895	0.24217221559902	0.391058867610151	0.0751275275498968	0.267384702503081
IRF2	0.0535268419271356	0.20631956864556	0.364419040655121	0.071892234235545	0.224499319788714
IRF3	0.045835492419277	0.214711394758136	0.424178354937278	0.0800748575796114	0.254832731460916
IRF4	0.0565565822458024	0.347407821122281	0.222352392872108	0.0502214842537843	0.267009690904016
IRF5	0.0487323100100552	0.250734978273855	0.389778981967415	0.0769975373031128	0.236205110104789
IRF7	0.0465644680651192	0.247727622593362	0.389279274219181	0.0764602343421751	0.262694335953564
IRF8	0.0461490290514007	0.226380380410942	0.386892548917928	0.0762016542987416	0.286930468762595
IRF9	0.0405384146564867	0.216061188800787	0.431597663645189	0.0809242599886408	0.247123188924786
JDP2	0.0467826984051046	0.299028121109181	0.268518115318699	0.0540445057630836	0.251179168268152
JUN	0.0533309441452074	0.29724547735693	0.335070614619296	0.0719012088898259	0.269669375316449
JUNB	0.0502713726021485	0.285900019236145	0.350274504251926	0.0735497697926933	0.265935587086818
JUND	0.0508982649198519	0.288541695924123	0.343586659663335	0.0715299847544327	0.272107456462344
KDM5A	0.050083334145838	0.225019704713291	0.413144588648809	0.078739208885745	0.254720908275981
KLF1	0.0476129290886751	0.246755415542192	0.363575105053899	0.0779173791077351	0.248751868878125
KLF10	0.0392763870447805	0.284619735313714	0.261562480442189	0.0611116769582698	0.31133557823863
KLF13	0.0341702959364524	0.18504481450049	0.471826440462905	0.0692871681571859	0.202716719205847
KLF16	0.0176600333851951	0.131244768037785	0.229179579569751	0.0513467765683582	0.167424961308746
KLF2	0.0430523358879601	0.229109565256585	0.432122529172266	0.0787434993995041	0.233789604971806
KLF3	0.0438935625985146	0.207686316695018	0.451197299034333	0.0784721914549379	0.232903321074316
KLF4	0.0414546284248234	0.397848449158427	0.164639046734186	0.0430668141697629	0.227253546110775
KLF5	0.0602259626424329	0.262440388884754	0.345961850992899	0.0656970914862028	0.249212366618512
KLF6	0.0517740783966703	0.330288877855678	0.277478796564249	0.0671749087071857	0.278272298831488
KLF7	0.0492472235017661	0.282899501198549	0.317406082924677	0.0591097225161761	0.245672213279609
KLF8	0.0271004519489535	0.129825216046108	0.446748845258109	0.105061299373188	0.249675905632867
KLF9	0.0422333328776779	0.199863345793215	0.44326538298119	0.0811990218727316	0.237813708659329
LEF1	0.0380794282650647	0.100890216789531	0.253883264920146	0.0877588980976118	0.116548042355277
MAF	0.0579619662513997	0.307375920775979	0.314146933815	0.0808567209650454	0.236656690685879
MAFB	0.0489631751364946	0.262272798997917	0.364713749822475	0.0743417753315861	0.260492101796535
MAFF	0.0426744934309518	0.300211915608495	0.309994160309813	0.0682238861001476	0.286667742648007
MAFG	0.0477522130246649	0.323972811226991	0.233724331742088	0.0572382803405652	0.286789209515214
MAFK	0.0459508059417352	0.217521430577436	0.390767279886335	0.070443554103879	0.214155850461027
MAX	0.0501480166358006	0.225787046657767	0.412483453004415	0.0805324238975091	0.255266788180379
MAZ	0.0478018242249496	0.234737314098404	0.399583080813233	0.0725627710709795	0.257804358885783
MECOM	0.0345536146792783	0.106954391172702	0.120808548887721	0.0409314503496756	0.1450168319825
MEF2A	0.0429989222272515	0.278324208604571	0.248202118880448	0.0708777247498674	0.200248220191868
MEF2C	0.0533138688306992	0.258388671925085	0.379054432653361	0.0800698692666499	0.2449230443211
MEF2D	0.0572463681215885	0.191553550079888	0.304701093278975	0.0624752414248463	0.223718511182822
MGA	0.049627084459303	0.173597620510291	0.386589034947288	0.0729851474777002	0.235873295845917
MLX	0.0571428012603693	0.224236188728543	0.376510580359791	0.0727191557833884	0.235388813758947
MNT	0.0474004232564081	0.199767615982275	0.277756478265166	0.0632797002458352	0.205971985381729
MSC	0.0399799633398749	0.178568605428202	0.221167090260897	0.0515822380518989	0.14860821482213
MSX1	0.0498374223291684	0.217297740677782	0.371156765736544	0.0724888757962392	0.219006136916287
MXI1	0.0358833418873459	0.22279596154567	0.246252988803449	0.0533348581925186	0.201323930191452
MYB	0.0341242242512929	0.148281626365724	0.107559752380719	0.0299207574644067	0.0880460393942579
MYC	0.0476557190310656	0.252291651297902	0.370767744079548	0.0797441870777151	0.277726376258397
MYF6	0.0491891267641957	0.0565644157986044	0.069988291590616	0.0254164270183802	0.044037220061499
MYPOP	0.0378039549693526	0.104945253852108	0.170213180322744	0.0529258050457423	0.127112646367687
NFATC1	0.00697501316545346	0.0621730280287311	0.0191843310244308	0.0100378623705093	0.0307512139528859
NFATC2	0.0280461610208778	0.127451679726792	0.455377116018578	0.0850399714573056	0.157253258379732
NFE2	0.0491807301577495	0.222679519197876	0.394516980886036	0.059935768665535	0.234416569242982
NFE2L2	0.0460989027145901	0.264569620066463	0.360724908522364	0.0698345371016534	0.2780823880239
NFIC	0.0211423809452614	0.0782148910382139	0.128481442564645	0.0413022601038905	0.0586997595904769
NFIL3	0.0534975275627959	0.307120525339284	0.328947447468919	0.0631083010812099	0.259114832572948
NFIX	0.0184404316330944	0.0405378166529039	0.122687867272919	0.0273763031679982	0.0642590567296
NFKB1	0.0491433244321287	0.316817959847712	0.304464982280587	0.0657610585906199	0.271334315121466
NFKB2	0.0482056048576514	0.304088181451136	0.326388079910791	0.0715221882996766	0.270112036878876
NFYA	0.0698157910999484	0.264039520709632	0.251313924483345	0.0519019459099458	0.26055961418231
NKX3-1	0.0275449615479577	0.224110933381549	0.252882105103395	0.060412768912011	0.159249853767019
NPDC1	0.0392808639055328	0.224780664624872	0.289279756920887	0.0706858659471667	0.222782746401652
NR2C2	0.0508262206041	0.246485262139974	0.393869915128901	0.0761988804255751	0.24936865344208
NR2F6	0.0405343900484185	0.13389854040592	0.0942773853329527	0.033254730845694	0.0839148357991859
NR3C1	0.0537722522816338	0.253902081078598	0.382654262063758	0.0768631031055158	0.260046096618725
NR3C2	0.0133565087595019	0.0771687435445766	0.239379842566639	0.173922709148913	0.0671713123630053
NRF1	0.052783405874724	0.233906279909094	0.336148372095983	0.0778788921714537	0.219918238818505
OVOL1	0.0651722595640715	0.183461439295052	0.117050560719351	0.0310672743890059	0.141149803853308
PATZ1	0.0303731755522226	0.137541116788341	0.250954956312684	0.0622321096999147	0.132347915923354
PAX5	0.0293988501036079	0.137551888651601	0.197795315022004	0.0652574585116493	0.165554844634554
PAX8	0.0105685308655773	0.0657376340919124	0.244539989063751	0.0642441528982033	0.142798720614764
PBX1	0.0422475466242361	0.224516143435345	0.348675503684407	0.0782671009728106	0.190237371293883
PBX3	0.052893479983506	0.224746626896144	0.338570121277554	0.0646807607176231	0.212848889850848
PHF8	0.0493946438792863	0.238441078526289	0.392167903128793	0.0721131586025416	0.236900920993175
POLE3	0.053219278341481	0.242151543298362	0.385314610055305	0.0753902690277826	0.2639471632028
POLR2A	0.0458234629587231	0.248382557833195	0.387842693397045	0.0753052176982829	0.261942559258608
POLR3A	0.0447884890940359	0.252107110367689	0.331291380829975	0.0792597080186637	0.186576705382444
POLR3G	0.0388911638495427	0.19266430829737	0.422447835460542	0.0932504088764824	0.226057732204529
POU2F1	0.0426511900367011	0.0988982759358167	0.145800285110515	0.0368809872837764	0.0964861294480698
POU2F3	0.0465695145665262	0.204788202250836	0.344108239852111	0.0720709713028962	0.194310852439046
POU3F1	0.0238078087153152	0.0639806632973491	0.0828180567026151	0.0334545342418053	0.0698247871005675
POU6F2	0.0382753566875312	0.240421102971896	0.122519004607697	0.0524166717831732	0.111830627736168
PPARA	0.0219803117056948	0.139378977775349	0.255513687214241	0.0513913780529518	0.163028641794148
PPARD	0.0538873970896009	0.201617703285307	0.268580582193917	0.0583808426287228	0.178664367662339
PRDM1	0.0415268976796543	0.20632428695955	0.422234698561861	0.0722977972302604	0.267867057065412
PRKAA1	0.008510838189838	0.0248174760203851	0.0361276617794808	0.0151342774584625	0.0216782731958918
RAD21	0.0542978262852819	0.244823952662999	0.397204006324626	0.077810485633693	0.2527905893419
RARA	0.0204369297699357	0.164348475024213	0.155301205493266	0.0576951601136803	0.181814799659128
RARG	0.0363809637694019	0.304041106490534	0.293104510654689	0.0817792338816231	0.185694370825914
REL	0.0442680082315319	0.275584525472514	0.306921690113268	0.0668245686620649	0.307800222271721
RELA	0.0466945364361332	0.224387014716475	0.397307892009679	0.0751506814703575	0.275417484405441
RELB	0.0477515792925886	0.276606341727125	0.336782792873257	0.0712105687691245	0.285110189030133
REST	0.0529738017158733	0.241526107030151	0.404503251798372	0.078842563576293	0.245547327396796
RFX2	0.0464037308004428	0.224903626558642	0.305912192266091	0.0542137716050747	0.187840062358698
RFX5	0.0486890701367957	0.2742032078105	0.359290538814643	0.077737244734675	0.247610414617953
RFX7	0.0359497403461925	0.199772715528197	0.206168164129814	0.0771296956166555	0.171025125867266
RORC	0.0674010569714991	0.394782919181883	0.28037356566802	0.0658887527922845	0.200306586514652
RREB1	0.0430479087420543	0.234450750753594	0.378580131005683	0.0769411384441951	0.242561311161706
RUNX1	0.0425594378451434	0.21281370562915	0.406851600266088	0.0759299055519721	0.229991140182932
RUNX3	0.049864824926584	0.154518556131983	0.302632065404581	0.0681360495074445	0.14842128124743
RXRA	0.0428739168227501	0.160267247201608	0.41601284605044	0.0697062658745217	0.267339727951637
RXRB	0.0300122015395451	0.11725824211502	0.30115365416535	0.0640099851071658	0.13771062071963
SALL2	0.0286542163980186	0.136577455833322	0.174973868047425	0.0452671502603801	0.113407104651462
SETDB1	0.0464380311092103	0.125399069461392	0.435020909384782	0.060606141930446	0.215270052563165
SF1	0.0423385062542059	0.263890692916714	0.352269905767089	0.0779033564598393	0.236234231576833
SIN3A	0.0452851880846771	0.23017402266785	0.39933026410091	0.0741759550964118	0.247503566601638
SIRT6	0.0555018300122946	0.174082276642428	0.290875129604513	0.0495700847648771	0.231865976140912
SMARCC2	0.0525182561515219	0.247404672553566	0.390169986199734	0.0781083656965451	0.233574169084654
SNAI1	0.0190584158126892	0.149885783283307	0.136903596139731	0.0394333145744565	0.1640449651116
SOX13	0.0105401029841955	0.0382917357087231	0.0405383771190706	0.0198791429905465	0.0233859864656232
SOX18	0.0639100478879933	0.240409418801472	0.223257260980952	0.0544282758875453	0.167839768541744
SOX4	0.0499750946052392	0.289976552059073	0.272972487703666	0.0669916726308913	0.224601532255407
SP1	0.0613079127980496	0.314833952008079	0.299767762852403	0.0641902953572756	0.221714872214579
SP2	0.0376580732681575	0.166624958363397	0.325207935947044	0.0610965993358314	0.196142748544936
SP4	0.0510937450936665	0.264620862337776	0.381657677205107	0.0717051244144115	0.201329944363519
SP6	0.0645020874097645	0.28290778636689	0.302428451381133	0.0654725998338912	0.276328795801563
SPAG7	0.00897547280028166	0.0321631501195058	0.0387427806711715	0.0227157172176339	0.0364145684973883
SPDEF	0.0437439607977868	0.201378480885124	0.222827149220238	0.0618914203405627	0.17963717565716
SPI1	0.0499645217959462	0.255132199018688	0.379584016658401	0.0781385905473426	0.259994502733115
SPIB	0.0501568588833186	0.256880123548827	0.381728392307108	0.0788629824268955	0.242424766011447
SREBF1	0.0442416168720736	0.235384519971662	0.374340869530179	0.0745609613820875	0.269175018137019
SREBF2	0.0572443799317419	0.223370664749867	0.41738448170377	0.0713052925322505	0.234344760793137
SRF	0.0332745424429911	0.180278313363955	0.413030358896548	0.077192517486196	0.238534838594337
STAT1	0.0468834761768118	0.256878568081805	0.390257747574061	0.0771272488864391	0.252548067972724
STAT2	0.0423148594105198	0.202412384830553	0.408477732460711	0.0775436728096258	0.278585444279298
STAT3	0.0779190809645028	0.384152655473639	0.226430947467221	0.0577414995973113	0.17398171901824
STAT4	0.0432482320784862	0.139843136177094	0.381803101264295	0.060184315798165	0.306452143875177
STAT5A	0.052732722248126	0.244897699986207	0.382734250657861	0.0727837409941186	0.259412213469966
STAT5B	0.100832304063475	0.0873187056630044	0.0395161276931704	0.0124020250949355	0.0350878308569512
STAT6	0.0281890012031281	0.0600314154711357	0.114213022903024	0.0363841049857064	0.0612340275470054
TAF1	0.0472313610417605	0.231503475639876	0.40552567957284	0.0791109477109352	0.244072568212567
TAF7	0.0514032568746701	0.262905663661438	0.376192930043764	0.0773485921162941	0.259834610068137
TAL1	0.0607574039331911	0.296368792913038	0.312195546544104	0.0611399399773886	0.236777383831149
TBP	0.0483997202994084	0.23529131329626	0.391638236019439	0.0804669272814807	0.246270136459857
TBX19	0.0152993933031856	0.0431177856853251	0.51279347285206	0.0661676289583458	0.241368227718679
TBX2	0.0514411468038659	0.340294894463413	0.254238930809806	0.0519640617669566	0.190286130954275
TBX21	0.0401822678130188	0.168464489612666	0.467511865579285	0.0796929914512636	0.249226248563644
TCF12	0.0509785694734459	0.201928597436719	0.314878349404499	0.0473183019070241	0.16954314660235
TCF4	0.0282732561453878	0.182852036279587	0.224960023146941	0.0597894384254322	0.172750413283548
TCF7L2	0.0547270581687094	0.239105319521883	0.254168965236093	0.0588517092795057	0.18430591633018
TEF	0.0466526227782306	0.296741885921694	0.273295856886019	0.0716005094616383	0.251186254573861
TFAP4	0.0251113148589176	0.121914327770592	0.20517048711091	0.0454209617621754	0.15742502282972
TFCP2	0.0527194091403907	0.278129581883693	0.277744395194719	0.0581318391134117	0.248170795742859
TFDP1	0.0502478716922792	0.222830906567473	0.409982458090735	0.0800479798171335	0.260103756236764
TFE3	0.050635721775958	0.269387543830807	0.359844507320663	0.0739814947361946	0.254375605589474
TFEC	0.0365941545008722	0.108818243444038	0.130622920651567	0.0533057722865918	0.0942852876299521
TGIF2	0.0452866070955957	0.261379583705916	0.322703586428616	0.0653941255777337	0.290788099338147
THAP1	0.0431813758427103	0.244765498833093	0.402315739703425	0.0758818172396589	0.22689423228074
THRA	0.0634926329081196	0.114724372883105	0.177784243001888	0.0437395405335362	0.0929017677762822
TP73	0.0433677790776219	0.256356641878471	0.339689587379958	0.0724779840498704	0.239773943041062
TRIM28	0.0481756981289846	0.25566462804385	0.374371289374037	0.0766521678620886	0.261095508549148
TRIM69	0.0452536973716718	0.258127552101445	0.367863922584745	0.0753406774465353	0.228704054583216
TRPS1	0.0311336467844796	0.128643125721606	0.338334897585934	0.0532080946975099	0.117248941631405
UBTF	0.0485455634641292	0.23984223348356	0.403059147039095	0.0768136876901682	0.249642919072696
USF1	0.056374227275825	0.22965395695768	0.389910096591797	0.0741058627899907	0.246862309095499
USF2	0.0452591405224675	0.206839762463175	0.420530197375687	0.075278956432459	0.2370762285726
VDR	0.0279016923910226	0.249651343595494	0.136800113512153	0.0469392160468347	0.154940945297974
VEZF1	0.0281194363584774	0.124773369056895	0.301270128705736	0.0629705986688452	0.103232906846661
XBP1	0.0423196146795154	0.22198625349128	0.421027741572203	0.0782223934062378	0.249124314055068
YBX1	0.0537874239986549	0.258379572503126	0.385493853065247	0.0786713957009793	0.252794644421301
YOD1	0.0519758283985383	0.225893483332046	0.391221452759088	0.0721205616794017	0.239730677838122
YY1	0.0500655441708858	0.230319114843731	0.418169606924724	0.078665175568036	0.24359355572953
YY2	0.06430446594727	0.216827077837572	0.204046186905794	0.0540641658786092	0.204254333772358
ZBTB7A	0.0357558104722004	0.163098019042153	0.491197496314412	0.0806174782173875	0.223204287046989
ZBTB7B	0.0402243010005906	0.269208958724963	0.338389171257188	0.0794110339142583	0.224070694901383
ZEB1	0.0578072265634797	0.283635112522789	0.347157567267544	0.0721197930033175	0.255225813276373
ZFP3	0.0344356163147954	0.153779343211492	0.356302339572827	0.0606622854070299	0.161312269569384
ZFP30	0.0526586868433554	0.181451441439175	0.257607624949963	0.0511978728109144	0.293491210273531
ZFY	0.0348293452313572	0.237219054348264	0.187893931379308	0.0446048681650852	0.226565002157119
ZNF10	0.0336846786075974	0.226313391716331	0.243314104101645	0.0628551609255259	0.219983590753782
ZNF136	0.010361549203894	0.0288724051306583	0.0561775307541228	0.0196891814749549	0.0353588287757909
ZNF143	0.0529225135354232	0.267997551092677	0.367585009080368	0.0749372752377433	0.254531276533072
