hgnc_symbol	ensembl_gene_id	gene_biotype	chromosome_name	start_position	end_position	description
GPX6	ENSG00000198704	protein_coding	6	28503296	28528215	glutathione peroxidase 6 
GREB1	ENSG00000196208	protein_coding	2	11482341	11642788	growth regulating estrogen receptor binding 1 
GRIK2	ENSG00000164418	protein_coding	6	100962701	102081622	glutamate ionotropic receptor kainate type subunit 2 
GRM7	ENSG00000196277	protein_coding	3	6770001	7741533	glutamate metabotropic receptor 7 
GSDMB	ENSG00000073605	protein_coding	17	39904595	39919854	gasdermin B 
GSDMC	ENSG00000147697	protein_coding	8	129748196	129786624	gasdermin C 
HADH	ENSG00000138796	protein_coding	4	107989714	108035241	hydroxyacyl-CoA dehydrogenase 
HDAC7	ENSG00000061273	protein_coding	12	47782722	47833132	histone deacetylase 7 
HHEX	ENSG00000152804	protein_coding	10	92689955	92695647	hematopoietically expressed homeobox 
HORMAD1	ENSG00000143452	protein_coding	1	150698060	150720895	HORMA domain containing 1 
HORMAD2	ENSG00000176635	protein_coding	22	30080464	30177075	HORMA domain containing 2 
ID4	ENSG00000172201	protein_coding	6	19837370	19842197	inhibitor of DNA binding 4, HLH protein 
IFIH1	ENSG00000115267	protein_coding	2	162267074	162318684	interferon induced with helicase C domain 1 
IFNG	ENSG00000111537	protein_coding	12	68154768	68159740	interferon gamma 
IFNGR2	ENSG00000159128	protein_coding	21	33403413	33479348	interferon gamma receptor 2 
IFNLR1	ENSG00000185436	protein_coding	1	24154168	24187959	interferon lambda receptor 1 
IKZF1	ENSG00000185811	protein_coding	7	50304068	50405101	IKAROS family zinc finger 1 
IL12B	ENSG00000113302	protein_coding	5	159314780	159330863	interleukin 12B 
IL12RB2	ENSG00000081985	protein_coding	1	67307364	67398724	interleukin 12 receptor subunit beta 2 
IL17REL	ENSG00000188263	protein_coding	22	49991811	50012765	interleukin 17 receptor E like 
IL18R1	ENSG00000115604	protein_coding	2	102311529	102398777	interleukin 18 receptor 1 
IL18RAP	ENSG00000115607	protein_coding	2	102418689	102452565	interleukin 18 receptor accessory protein 
IL19	ENSG00000142224	protein_coding	1	206770764	206842981	interleukin 19 
IL1R1	ENSG00000115594	protein_coding	2	102064544	102179874	interleukin 1 receptor type 1 
IL1R2	ENSG00000115590	protein_coding	2	101991960	102028544	interleukin 1 receptor type 2 
IL1RL1	ENSG00000115602	protein_coding	2	102311502	102352037	interleukin 1 receptor like 1 
IL23R	ENSG00000162594	protein_coding	1	67138907	67259979	interleukin 23 receptor 
IL27	ENSG00000197272	protein_coding	16	28499362	28512051	interleukin 27 
IL2RA	ENSG00000134460	protein_coding	10	6010689	6062370	interleukin 2 receptor subunit alpha 
IL6R	ENSG00000160712	protein_coding	1	154405193	154469450	interleukin 6 receptor 
IMPG2	ENSG00000081148	protein_coding	3	101222546	101320575	interphotoreceptor matrix proteoglycan 2 
INAVA	ENSG00000163362	protein_coding	1	200891048	200915742	innate immunity activator 
IPMK	ENSG00000151151	protein_coding	10	58191517	58267894	inositol polyphosphate multikinase 
IRF1	ENSG00000125347	protein_coding	5	132440440	132508719	interferon regulatory factor 1 
IRF5	ENSG00000128604	protein_coding	7	128937457	128950038	interferon regulatory factor 5 
IRF6	ENSG00000117595	protein_coding	1	209785617	209806175	interferon regulatory factor 6 
IRF8	ENSG00000140968	protein_coding	16	85899116	85922606	interferon regulatory factor 8 
IRGM	ENSG00000237693	protein_coding	5	150846521	150900736	immunity related GTPase M 
IRX2	ENSG00000170561	protein_coding	5	2745845	2751677	iroquois homeobox 2 
ITGA4	ENSG00000115232	protein_coding	2	181457202	181538940	integrin subunit alpha 4 
ITGAV	ENSG00000138448	protein_coding	2	186590056	186680901	integrin subunit alpha V 
ITGB8	ENSG00000105855	protein_coding	7	20330702	20415754	integrin subunit beta 8 
ITLN1	ENSG00000179914	protein_coding	1	160876540	160885180	intelectin 1 
JAK2	ENSG00000096968	protein_coding	9	4984390	5129948	Janus kinase 2 
JAZF1	ENSG00000153814	protein_coding	7	27830573	28180795	JAZF zinc finger 1 
KCTD12	ENSG00000178695	protein_coding	13	76880175	76886405	potassium channel tetramerization domain containing 12 
KSR1	ENSG00000141068	protein_coding	17	27456448	27626438	kinase suppressor of ras 1 
LACC1	ENSG00000179630	protein_coding	13	43879284	43893932	laccase domain containing 1 
LDB2	ENSG00000169744	protein_coding	4	16501541	16898678	LIM domain binding 2 
LITAF	ENSG00000189067	protein_coding	16	11547722	11636381	lipopolysaccharide induced TNF factor 
LNPEP	ENSG00000113441	protein_coding	5	96935394	97037513	leucyl and cystinyl aminopeptidase 
LRMDA	ENSG00000148655	protein_coding	10	75431624	76560168	leucine rich melanocyte differentiation associated 
LRRC32	ENSG00000137507	protein_coding	11	76657524	76670747	leucine rich repeat containing 32 
LRRK2	ENSG00000188906	protein_coding	12	40196744	40369285	leucine rich repeat kinase 2 
LSP1	ENSG00000130592	protein_coding	11	1850904	1892267	lymphocyte specific protein 1 
LY75	ENSG00000054219	protein_coding	2	159803355	159904756	lymphocyte antigen 75 
LY75-CD302	ENSG00000248672	protein_coding	2	159771851	159904710	LY75-CD302 readthrough 
MACROD2	ENSG00000172264	protein_coding	20	13995369	16053197	mono-ADP ribosylhydrolase 2 
MAML2	ENSG00000184384	protein_coding	11	95976598	96343195	mastermind like transcriptional coactivator 2 
MAP1B	ENSG00000131711	protein_coding	5	72107234	72209565	microtubule associated protein 1B 
MAP3K8	ENSG00000107968	protein_coding	10	30434021	30461833	mitogen-activated protein kinase kinase kinase 8 
MFHAS1	ENSG00000147324	protein_coding	8	8783354	8893630	multifunctional ROCO family signaling regulator 1 
MMP11	ENSG00000099953	protein_coding	22	23768226	23784316	matrix metallopeptidase 11 
MROH2A	ENSG00000185038	protein_coding	2	233775679	233833423	maestro heat like repeat family member 2A 
NDFIP1	ENSG00000131507	protein_coding	5	142108779	142154440	Nedd4 family interacting protein 1 
NFATC1	ENSG00000131196	protein_coding	18	79395856	79529325	nuclear factor of activated T cells 1 
NFKB1	ENSG00000109320	protein_coding	4	102501331	102617302	nuclear factor kappa B subunit 1 
NFKBIA	ENSG00000100906	protein_coding	14	35401513	35404749	NFKB inhibitor alpha 
NKD1	ENSG00000140807	protein_coding	16	50548396	50649249	NKD inhibitor of WNT signaling pathway 1 
NKX2-3	ENSG00000119919	protein_coding	10	99532942	99536524	NK2 homeobox 3 
NOD2	ENSG00000167207	protein_coding	16	50693588	50734041	nucleotide binding oligomerization domain containing 2 
NOS2	ENSG00000007171	protein_coding	17	27756766	27800529	nitric oxide synthase 2 
NR5A2	ENSG00000116833	protein_coding	1	200027614	200177420	nuclear receptor subfamily 5 group A member 2 
NTM	ENSG00000182667	protein_coding	11	131370478	132336822	neurotrimin 
NUDT4	ENSG00000173598	protein_coding	12	93377883	93408146	nudix hydrolase 4 
NXPE1	ENSG00000095110	protein_coding	11	114518934	114559881	neurexophilin and PC-esterase domain family member 1 
OLIG3	ENSG00000177468	protein_coding	6	137492199	137494394	oligodendrocyte transcription factor 3 
OSER1	ENSG00000132823	protein_coding	20	44195939	44210771	oxidative stress responsive serine rich 1 
OSGIN2	ENSG00000164823	protein_coding	8	89901849	89927888	oxidative stress induced growth inhibitor family member 2 
OSMR	ENSG00000145623	protein_coding	5	38845858	38945596	oncostatin M receptor 
P4HA2	ENSG00000072682	protein_coding	5	132190147	132295315	prolyl 4-hydroxylase subunit alpha 2 
PAK1	ENSG00000149269	protein_coding	11	77322017	77474635	p21 (RAC1) activated kinase 1 
PARK7	ENSG00000116288	protein_coding	1	7954291	7985505	Parkinsonism associated deglycase 
PDGFA	ENSG00000197461	protein_coding	7	497258	520296	platelet derived growth factor subunit A 
PDGFB	ENSG00000100311	protein_coding	22	39223359	39244982	platelet derived growth factor subunit B 
PDK1	ENSG00000152256	protein_coding	2	172555373	172608669	pyruvate dehydrogenase kinase 1 
PER3	ENSG00000049246	protein_coding	1	7784291	7845177	period circadian regulator 3 
PEX13	ENSG00000162928	protein_coding	2	61017225	61051990	peroxisomal biogenesis factor 13 
PFKFB3	ENSG00000170525	protein_coding	10	6144934	6254644	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 
PITX1	ENSG00000069011	protein_coding	5	135027734	135034813	paired like homeodomain 1 
PKHD1	ENSG00000170927	protein_coding	6	51615299	52087613	PKHD1 ciliary IPT domain containing fibrocystin/polyductin 
PLA2G2E	ENSG00000188784	protein_coding	1	19920009	19923617	phospholipase A2 group IIE 
PLA2G4A	ENSG00000116711	protein_coding	1	186828949	186988981	phospholipase A2 group IVA 
PLAU	ENSG00000122861	protein_coding	10	73909177	73917496	plasminogen activator, urokinase 
PLCG2	ENSG00000197943	protein_coding	16	81739097	81962685	phospholipase C gamma 2 
PLCL1	ENSG00000115896	protein_coding	2	197804593	198572581	phospholipase C like 1 (inactive) 
PPIF	ENSG00000108179	protein_coding	10	79347469	79355334	peptidylprolyl isomerase F 
PPP5C	ENSG00000011485	protein_coding	19	46347087	46392981	protein phosphatase 5 catalytic subunit 
PRDM1	ENSG00000057657	protein_coding	6	105993463	106109939	PR/SET domain 1 
PRKCB	ENSG00000166501	protein_coding	16	23835983	24220611	protein kinase C beta 
PROX1	ENSG00000117707	protein_coding	1	213983181	214041510	prospero homeobox 1 
PTGER3	ENSG00000050628	protein_coding	1	70852353	71047816	prostaglandin E receptor 3 
PTGER4	ENSG00000171522	protein_coding	5	40679915	40693735	prostaglandin E receptor 4 
PTGIS	ENSG00000124212	protein_coding	20	49503874	49568137	prostaglandin I2 synthase 
PTPN2	ENSG00000175354	protein_coding	18	12785478	12929643	protein tyrosine phosphatase non-receptor type 2 
PTPN22	ENSG00000134242	protein_coding	1	113813811	113871753	protein tyrosine phosphatase non-receptor type 22 
PTPRC	ENSG00000081237	protein_coding	1	198638457	198757476	protein tyrosine phosphatase receptor type C 
PUS10	ENSG00000162927	protein_coding	2	60940222	61018259	pseudouridine synthase 10 
PVALEF	ENSG00000225180	protein_coding	17	81165507	81183166	parvalbumin like EF-hand containing 
RASGRP1	ENSG00000172575	protein_coding	15	38488103	38565575	RAS guanyl releasing protein 1 
REL	ENSG00000162924	protein_coding	2	60881521	60931612	REL proto-oncogene, NF-kB subunit 
REPS1	ENSG00000135597	protein_coding	6	138903493	138988261	RALBP1 associated Eps domain containing 1 
REXO2	ENSG00000076043	protein_coding	11	114439435	114450279	RNA exonuclease 2 
RGS14	ENSG00000169220	protein_coding	5	177357924	177372596	regulator of G protein signaling 14 
RIPK2	ENSG00000104312	protein_coding	8	89757806	89791064	receptor interacting serine/threonine kinase 2 
RNASET2	ENSG00000026297	protein_coding	6	166922113	166957191	ribonuclease T2 
RNF186	ENSG00000178828	protein_coding	1	19814029	19815283	ring finger protein 186 
RNF207	ENSG00000158286	protein_coding	1	6205475	6221299	ring finger protein 207 
ROBO1	ENSG00000169855	protein_coding	3	78597239	79767998	roundabout guidance receptor 1 
RORC	ENSG00000143365	protein_coding	1	151806071	151831845	RAR related orphan receptor C 
RPS6KB1	ENSG00000108443	protein_coding	17	59893046	59950574	ribosomal protein S6 kinase B1 
RSPO3	ENSG00000146374	protein_coding	6	127118671	127199481	R-spondin 3 
RUNX3	ENSG00000020633	protein_coding	1	24899511	24965121	RUNX family transcription factor 3 
S100A7A	ENSG00000184330	protein_coding	1	153416520	153423222	S100 calcium binding protein A7A 
SATB1	ENSG00000182568	protein_coding	3	18345377	18445588	SATB homeobox 1 
SATB2	ENSG00000119042	protein_coding	2	199269500	199471266	SATB homeobox 2 
SBNO2	ENSG00000064932	protein_coding	19	1107637	1174268	strawberry notch homolog 2 
SH2B3	ENSG00000111252	protein_coding	12	111405923	111451623	SH2B adaptor protein 3 
SHANK2	ENSG00000162105	protein_coding	11	70467854	71252577	SH3 and multiple ankyrin repeat domains 2 
SIRPG	ENSG00000089012	protein_coding	20	1629152	1657779	signal regulatory protein gamma 
SKAP2	ENSG00000005020	protein_coding	7	26667068	26995239	src kinase associated phosphoprotein 2 
SLAIN2	ENSG00000109171	protein_coding	4	48341529	48426201	SLAIN motif family member 2 
SLAMF8	ENSG00000158714	protein_coding	1	159826811	159837492	SLAM family member 8 
SLC22A23	ENSG00000137266	protein_coding	6	3268962	3457050	solute carrier family 22 member 23 
SLC22A4	ENSG00000197208	protein_coding	5	132294394	132344190	solute carrier family 22 member 4 
SLC22A5	ENSG00000197375	protein_coding	5	132369710	132395613	solute carrier family 22 member 5 
SLC26A3	ENSG00000091138	protein_coding	7	107765467	107803225	solute carrier family 26 member 3 
SLC2A13	ENSG00000151229	protein_coding	12	39755025	40106089	solute carrier family 2 member 13 
SLC39A11	ENSG00000133195	protein_coding	17	72645949	73092712	solute carrier family 39 member 11 
SLC39A8	ENSG00000138821	protein_coding	4	102251080	102431258	solute carrier family 39 member 8 
SLC4A4	ENSG00000080493	protein_coding	4	71062667	71572087	solute carrier family 4 member 4 
SLC7A10	ENSG00000130876	protein_coding	19	33208664	33225850	solute carrier family 7 member 10 
SLC9A8	ENSG00000197818	protein_coding	20	49812713	49892242	solute carrier family 9 member A8 
SLIT3	ENSG00000184347	protein_coding	5	168661733	169301139	slit guidance ligand 3 
SMAD3	ENSG00000166949	protein_coding	15	67063763	67195173	SMAD family member 3 
SMURF1	ENSG00000198742	protein_coding	7	99027440	99144108	SMAD specific E3 ubiquitin protein ligase 1 
SNX20	ENSG00000167208	protein_coding	16	50666300	50681353	sorting nexin 20 
SOX14	ENSG00000168875	protein_coding	3	137764315	137766334	SRY-box transcription factor 14 
SOX4	ENSG00000124766	protein_coding	6	21593751	21598619	SRY-box transcription factor 4 
SP110	ENSG00000135899	protein_coding	2	230165186	230225729	SP110 nuclear body protein 
SP140	ENSG00000079263	protein_coding	2	230203110	230313215	SP140 nuclear body protein 
SPATA48	ENSG00000164500	protein_coding	7	50095883	50159256	spermatogenesis associated 48 
SPATC1	ENSG00000186583	protein_coding	8	144012280	144047114	spermatogenesis and centriole associated 1 
SPRED2	ENSG00000198369	protein_coding	2	65310851	65432637	sprouty related EVH1 domain containing 2 
SRP14	ENSG00000140319	protein_coding	15	40035690	40039181	signal recognition particle 14 
STAT3	ENSG00000168610	protein_coding	17	42313324	42388540	signal transducer and activator of transcription 3 
STAT4	ENSG00000138378	protein_coding	2	191029576	191151596	signal transducer and activator of transcription 4 
STC1	ENSG00000159167	protein_coding	8	23841929	23854806	stanniocalcin 1 
TAB2	ENSG00000055208	protein_coding	6	149218641	149411613	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 
TAGAP	ENSG00000164691	protein_coding	6	159034468	159045152	T cell activation RhoGTPase activating protein 
TET2	ENSG00000168769	protein_coding	4	105145875	105279816	tet methylcytosine dioxygenase 2 
THADA	ENSG00000115970	protein_coding	2	43230851	43596038	THADA armadillo repeat containing 
THEMIS	ENSG00000172673	protein_coding	6	127708072	127918631	thymocyte selection associated 
TLR4	ENSG00000136869	protein_coding	9	117704175	117724735	toll like receptor 4 
TMEM174	ENSG00000164325	protein_coding	5	73173193	73175143	transmembrane protein 174 
TMPRSS2	ENSG00000184012	protein_coding	21	41464300	41531116	transmembrane serine protease 2 
TMTC2	ENSG00000179104	protein_coding	12	82686880	83134870	transmembrane O-mannosyltransferase targeting cadherins 2 
TNFAIP3	ENSG00000118503	protein_coding	6	137867214	137883312	TNF alpha induced protein 3 
TNFRSF14	ENSG00000157873	protein_coding	1	2555639	2565382	TNF receptor superfamily member 14 
TNFRSF1A	ENSG00000067182	protein_coding	12	6328757	6342114	TNF receptor superfamily member 1A 
TNFRSF6B	ENSG00000243509	protein_coding	20	63696652	63698684	TNF receptor superfamily member 6b 
TNFRSF9	ENSG00000049249	protein_coding	1	7915871	7943165	TNF receptor superfamily member 9 
TNFSF11	ENSG00000120659	protein_coding	13	42562736	42608013	TNF superfamily member 11 
TNFSF15	ENSG00000181634	protein_coding	9	114784652	114806039	TNF superfamily member 15 
TNFSF18	ENSG00000120337	protein_coding	1	173039202	173050941	TNF superfamily member 18 
TNFSF8	ENSG00000106952	protein_coding	9	114893343	114930595	TNF superfamily member 8 
TOM1	ENSG00000100284	protein_coding	22	35299275	35347992	target of myb1 membrane trafficking protein 
TRAF3IP2	ENSG00000056972	protein_coding	6	111555381	111606906	TRAF3 interacting protein 2 
TRIB1	ENSG00000173334	protein_coding	8	125430358	125438403	tribbles pseudokinase 1 
TSPAN14	ENSG00000108219	protein_coding	10	80454166	80533124	tetraspanin 14 
TSPAN5	ENSG00000168785	protein_coding	4	98470367	98658611	tetraspanin 5 
TUBD1	ENSG00000108423	protein_coding	17	59859479	59892945	tubulin delta 1 
TYK2	ENSG00000105397	protein_coding	19	10350529	10380572	tyrosine kinase 2 
UBASH3A	ENSG00000160185	protein_coding	21	42403447	42447684	ubiquitin associated and SH3 domain containing A 
UBE2D1	ENSG00000072401	protein_coding	10	58334979	58370751	ubiquitin conjugating enzyme E2 D1 
USH2A	ENSG00000042781	protein_coding	1	215622891	216423448	usherin 
UVRAG	ENSG00000198382	protein_coding	11	75815210	76144232	UV radiation resistance associated 
WDR59	ENSG00000103091	protein_coding	16	74871362	75000173	WD repeat domain 59 
WNT7B	ENSG00000188064	protein_coding	22	45920366	45977162	Wnt family member 7B 
XYLT1	ENSG00000103489	protein_coding	16	17101769	17470960	xylosyltransferase 1 
ZBTB20	ENSG00000181722	protein_coding	3	114314500	115147288	zinc finger and BTB domain containing 20 
